1|18451|O|193738.97|1996-01-02|5-LOW|Clerk#000000951|0|blithely final dolphins solve-- blithely blithe packages nag blith
2|39001|O|41419.39|1996-12-01|1-URGENT|Clerk#000000880|0|quickly regular depend
3|61657|F|208403.57|1993-10-14|5-LOW|Clerk#000000955|0|deposits alongside of the dependencies are slowly about 
4|68389|O|30234.04|1995-10-11|5-LOW|Clerk#000000124|0|final requests detect slyly across the blithely bold pinto beans. eve
5|22243|F|149065.30|1994-07-30|5-LOW|Clerk#000000925|0|even deposits cajole furiously. quickly spe
6|27812|F|62682.76|1992-02-21|4-NOT SPECIFIED|Clerk#000000058|0|ironically bold asymptotes sleep blithely beyond the regular
7|19568|O|256861.11|1996-01-10|2-HIGH|Clerk#000000470|0|ironic
32|65029|O|197344.59|1995-07-16|2-HIGH|Clerk#000000616|0|slyly final foxes are slyly. packag
33|33479|F|164422.16|1993-10-27|3-MEDIUM|Clerk#000000409|0|packages maintain about the deposits; foxes hang after 
34|30502|O|62037.05|1998-07-21|3-MEDIUM|Clerk#000000223|0|quickly express asymptotes use. carefully final packages sleep f
35|63794|O|240751.80|1995-10-23|4-NOT SPECIFIED|Clerk#000000259|0|fluffily regular pinto beans 
36|57626|O|70473.09|1995-11-03|1-URGENT|Clerk#000000358|0|carefully ironic accounts nag
37|43058|F|157092.64|1992-06-03|3-MEDIUM|Clerk#000000456|0|express requests ar
38|62414|O|82202.35|1996-08-21|4-NOT SPECIFIED|Clerk#000000604|0|slyly quick pinto beans detect flu
39|40882|O|296745.41|1996-09-20|3-MEDIUM|Clerk#000000659|0|furiously unusual pinto beans above the furiously ironic asymptot
64|16057|F|39049.11|1994-07-16|3-MEDIUM|Clerk#000000661|0|final deposits nag. blithely special deposits a
65|8126|P|121381.17|1995-03-18|1-URGENT|Clerk#000000632|0|furiously even platelets boost ironic theodolites. even 
66|64600|F|123706.65|1994-01-20|5-LOW|Clerk#000000743|0|ironic requests are quickly about the carefully unusual a
67|28307|O|163118.13|1996-12-19|4-NOT SPECIFIED|Clerk#000000547|0|regular
68|14275|O|306847.27|1998-04-18|3-MEDIUM|Clerk#000000440|0|stealthy decoys nag; furiously
69|42244|F|206730.96|1994-06-04|4-NOT SPECIFIED|Clerk#000000330|0|carefully regular theodolites exce
70|32170|F|128966.63|1993-12-18|5-LOW|Clerk#000000322|0|blithely unusual pack
71|1687|O|268575.61|1998-01-24|4-NOT SPECIFIED|Clerk#000000271|0|furiously ironic dolphins sleep slyly. carefully special notornis cajole c
96|53890|F|85247.48|1994-04-17|2-HIGH|Clerk#000000395|0|carefully regular accounts 
97|10531|F|122707.89|1993-01-29|3-MEDIUM|Clerk#000000547|0|carefully even packages believe sly
98|52240|F|63803.75|1994-09-25|1-URGENT|Clerk#000000448|0|carefully even dinos sleep blithely. regular
99|44455|F|104376.48|1994-03-13|4-NOT SPECIFIED|Clerk#000000973|0|carefully regular theodolites may believe unu
100|73502|O|189372.93|1998-02-28|4-NOT SPECIFIED|Clerk#000000577|0|regular deposits sleep closely regular
101|13999|O|122017.33|1996-03-17|3-MEDIUM|Clerk#000000419|0|blithely ironic accounts lose slyly about the pending
102|358|O|157194.14|1997-05-09|2-HIGH|Clerk#000000596|0|unusual deposits dazzle furiously blithely regular pinto beans. pending foxes
103|14551|O|126575.29|1996-06-20|4-NOT SPECIFIED|Clerk#000000090|0|carefully ironic deposits are quickly blithely even
128|36979|F|49332.31|1992-06-15|1-URGENT|Clerk#000000385|0|carefully special e
129|35567|F|290760.55|1992-11-19|5-LOW|Clerk#000000859|0|slyly bold dolphins cajole c
130|18482|F|204233.91|1992-05-08|2-HIGH|Clerk#000000036|0|slyly final accounts among
131|46375|F|131213.82|1994-06-08|3-MEDIUM|Clerk#000000625|0|special courts wake blithely accordin
132|13198|F|148638.98|1993-06-11|3-MEDIUM|Clerk#000000488|0|ironic platelets according to the evenly regula
133|22000|O|126112.85|1997-11-29|1-URGENT|Clerk#000000738|0|slyly silent deposits haggle carefully fluffi
134|3100|F|179611.14|1992-05-01|4-NOT SPECIFIED|Clerk#000000711|0|silently even deposits wake about the fluff
135|30241|O|223166.94|1995-10-21|4-NOT SPECIFIED|Clerk#000000804|0|accounts cajole. final
160|41248|O|103499.93|1996-12-19|4-NOT SPECIFIED|Clerk#000000342|0|unusual dependencie
161|8311|F|25769.01|1994-08-31|2-HIGH|Clerk#000000322|0|ironic
162|7058|O|3243.84|1995-05-08|3-MEDIUM|Clerk#000000378|0|instructions nag slyly. fluffily ironic sau
163|43880|O|176978.19|1997-09-05|3-MEDIUM|Clerk#000000379|0|carefully express pinto beans serve carefully final as
164|391|F|322295.88|1992-10-21|5-LOW|Clerk#000000209|0|fluffily unusual requests al
165|13619|F|215927.98|1993-01-30|4-NOT SPECIFIED|Clerk#000000292|0|furiously enticing accounts cajole sometimes. slyly express plat
166|53906|O|143099.94|1995-09-12|2-HIGH|Clerk#000000440|0|bold dependencies wake furiously regula
167|59701|F|84183.02|1993-01-04|4-NOT SPECIFIED|Clerk#000000731|0|express warhorses wake carefully furiously ironic deposits. c
192|41285|O|186888.41|1997-11-25|5-LOW|Clerk#000000483|0|silent requests above the furiously even pinto beans sleep bl
193|39532|F|84893.26|1993-08-08|1-URGENT|Clerk#000000025|0|slyly blithe instructions cajole carefully ironic
194|30862|F|175233.64|1992-04-05|3-MEDIUM|Clerk#000000352|0|carefully dogged excuses use abou
195|67711|F|208199.27|1993-12-28|3-MEDIUM|Clerk#000000216|0|ironic
196|32413|F|55781.55|1993-03-17|2-HIGH|Clerk#000000988|0|even deposits wake 
197|16256|P|158467.43|1995-04-07|2-HIGH|Clerk#000000969|0|theodolites above the furiously regular deposits sleep blithely abo
198|55109|O|173072.33|1998-01-02|4-NOT SPECIFIED|Clerk#000000331|0|deposits haggle carefully after the furiously fi
199|26485|O|106073.85|1996-03-07|2-HIGH|Clerk#000000489|0|unusual
224|1238|F|240071.25|1994-06-18|4-NOT SPECIFIED|Clerk#000000642|0|quickly final accounts use even requests. ironic ac
225|16516|P|227355.89|1995-05-25|1-URGENT|Clerk#000000177|0|blithely express cou
226|63733|F|284752.63|1993-03-10|2-HIGH|Clerk#000000756|0|even
227|4942|O|56373.18|1995-11-10|5-LOW|Clerk#000000919|0|asymptotes are special
228|22039|F|2688.60|1993-02-25|1-URGENT|Clerk#000000562|0|blithely ironic requests boost pending theodolites. even deposits affix fluf
229|55864|F|210573.08|1993-12-29|1-URGENT|Clerk#000000628|0|blithely thin requests along the fluffily regular packages e
230|51268|F|181436.59|1993-10-27|1-URGENT|Clerk#000000520|0|ironic
231|45409|F|181212.39|1994-09-29|2-HIGH|Clerk#000000446|0|express requests use always at the unusual deposits. silently final acc
256|62416|F|136237.54|1993-10-19|4-NOT SPECIFIED|Clerk#000000834|0|special dependencies boost furiously. pendin
257|61348|O|7380.64|1998-03-28|3-MEDIUM|Clerk#000000680|0|final
258|20932|F|261866.01|1993-12-29|1-URGENT|Clerk#000000167|0|regularly ironic grouches against the quickly express p
259|21593|F|123934.57|1993-09-29|4-NOT SPECIFIED|Clerk#000000601|0|ironic packages haggle among the furiously brave deposits. final
260|52364|O|292243.72|1996-12-10|3-MEDIUM|Clerk#000000960|0|quickly special ideas against the furiously final accounts affix deposits. sl
261|23036|F|293000.68|1993-06-29|3-MEDIUM|Clerk#000000310|0|final accounts nag fluffily about
262|15176|O|140182.59|1995-11-25|4-NOT SPECIFIED|Clerk#000000551|0|express
263|58036|F|121652.80|1994-05-17|2-HIGH|Clerk#000000088|0|fluffily final ideas use quickly slyly final foxes? fluffily express dolphi
288|3547|O|220993.03|1997-02-21|1-URGENT|Clerk#000000109|0|quickly ruthless instructions cajole 
289|51875|O|207854.81|1997-02-10|3-MEDIUM|Clerk#000000103|0|slyly express excuses d
290|58976|F|111260.99|1994-01-01|4-NOT SPECIFIED|Clerk#000000735|0|pending instructions against the furiously express d
291|70525|F|93222.54|1994-03-13|1-URGENT|Clerk#000000923|0|express requests according to the carefully regular deposits run
292|11126|F|49193.99|1992-01-13|2-HIGH|Clerk#000000193|0|furiously special theodolites wake blith
293|14965|F|52534.42|1992-10-02|2-HIGH|Clerk#000000629|0|regular instructions grow bold
294|25249|F|54473.45|1993-07-16|3-MEDIUM|Clerk#000000499|0|idly ironic deposits must have to haggle deposits. blithel
295|9493|F|137035.34|1994-09-29|2-HIGH|Clerk#000000155|0|doggedly final requests nag carefull
320|151|O|45513.73|1997-11-21|2-HIGH|Clerk#000000573|0|carefully silent ideas do solve final
321|61297|F|71697.55|1993-03-21|3-MEDIUM|Clerk#000000289|0|quickly silent requests affix sl
322|66773|F|214230.74|1992-03-19|1-URGENT|Clerk#000000158|0|carefully unusual pinto beans lose carefully. even instructions ac
323|19567|F|127766.62|1994-03-26|1-URGENT|Clerk#000000959|0|even
324|52579|F|42438.49|1992-03-20|1-URGENT|Clerk#000000352|0|regular theodolites boost quickly along the ironic
325|20012|F|97499.07|1993-10-17|5-LOW|Clerk#000000844|0|carefully fluffy forges about the express
326|37993|O|319630.93|1995-06-04|2-HIGH|Clerk#000000466|0|regular theodolites was car
327|72299|P|42317.33|1995-04-17|5-LOW|Clerk#000000992|0|fluffily ironic deposits across the ironically regular ideas are 
352|53228|F|30094.71|1994-03-08|2-HIGH|Clerk#000000932|0|regular
353|889|F|263964.89|1993-12-31|5-LOW|Clerk#000000449|0|even ideas haggle excuses? slyly ironic packages wake alongside of the qu
354|69134|O|217771.70|1996-03-14|2-HIGH|Clerk#000000511|0|quickly special packages inside the slyly unusual pain
355|35005|F|95976.38|1994-06-14|5-LOW|Clerk#000000532|0|carefully even instructio
356|73405|F|224075.46|1994-06-30|4-NOT SPECIFIED|Clerk#000000944|0|fluffily pending theo
