1001|2001|3001|101|45|230|0.10|0.15|TRUE|OPEN|1999-04-21|2001-04-21|2002-04-21|Voyage|LAUNCH|hello
1002|2002|3002|102|56|123|0.15|0.40|TRUE|CLOSED|2000-04-21|2010-04-21|2004-04-21|Voyage|LAUNCH|hello
1003|2003|3003|103|12|456|0.20|0.34|TRUE|OPEN|2001-04-21|2011-04-21|2005-04-21|Voyage|LAUNCH|hello
1004|2004|3004|104|23|678|0.25|0.74|TRUE|OPEN|2000-04-21|2010-04-21|2006-04-21|Voyage|LAUNCH|hello
1005|2005|3005|105|34|432|0.30|0.36|TRUE|OPEN|2001-04-21|2010-04-21|2007-04-21|Voyage|LAUNCH|hello
1006|2006|3006|106|89|567|0.35|0.23|TRUE|OPEN|1998-04-21|2010-04-21|2031-04-21|Voyage|LAUNCH|hello
1007|2007|3007|107|91|123|0.40|0.31|TRUE|CLOSED|2001-04-21|2009-04-21|2001-07-21|Voyage|LAUNCH|hello
1008|2008|3008|108|34|789|0.45|0.56|TRUE|CLOSED|1995-04-21|2003-04-21|2004-04-21|Voyage|LAUNCH|hello
1009|2009|3009|109|25|9009|0.50|0.40|TRUE|CLOSED|2001-04-21|2002-04-21|2011-04-21|Voyage|LAUNCH|hello
1010|2010|3010|110|76|2345|0.55|0.34|TRUE|CLOSED|2000-04-21|2001-08-21|2011-04-21|Voyage|LAUNCH|hello
